Symbol,UUID,PublishTime,Title,Description,AssetTags,SearchTags
ACN,ade67915-fe61-46b2-bf3f-4326b0d6119a,2021-10-13T12:55:33.000Z,"Accenture hired 118,000 employees in the last year. The VR headsets helped",The VR headsets helped. Read More,Accenture-ACN NYSE-ACN US,ACN
ACN,7cd980ac-ad4a-4783-a132-e3bdc927d427,2021-10-12T18:34:19.000Z,UPS advises customers to send holiday packages by Dec. 15 for Christmas delivery,"United Parcel Service Inc. is advising customers to send holiday packages by Dec. 15 if they want to use ground service for Christmas arrival. For customers using 3 Day Select Service, the deadline is Dec. 21. For UPS 2nd Day Air Service, there's one extra day, with a Dec. 22 deadline. And the UPS Next Day Air deadline is Dec. 23. Accenture data shows that 22% of shoppers plan to make most of their purchases on Black Friday or Cyber Monday, though retailers are starting their holiday promotions this month. Beyond shipping, consumers and retailers are concerned about the supply chain. ""This year, more than ever, having a handle on inventory and the surety of supply will matter to both the consumer and the retailer,"" said Jill Standish, head of Accenture's retail industry group, in a statement. UPS shares are up 8.1% for the year to date while the S&P 500 index has gained 16.2% for the period. Market Pulse Stories are Rapid-fire, short news bursts on stocks and markets as they move. Visit MarketWatch.",Accenture-ACN NYSE-ACN US,ACN
ACN,9b3820a2-5cad-47e9-8133-fc5840b496dd,2021-09-23T10:51:53.000Z,Accenture forecasts current-quarter revenue above estimates,"IT consulting firm Accenture forecast first-quarter revenue above analysts' estimates on Thursday, expecting stronger demand for its cloud and security services.",Accenture-ACN NYSE-ACN US,ACN
ACN,7e150b59-6987-4c5a-ba4f-ac8f7e473227,2021-09-23T10:52:03.000Z,Accenture expects strong Q1 as Delta variant delays return-to-work plans,"IT consulting firm Accenture on Thursday forecast first-quarter revenue above analysts' estimates, expecting strong demand for its cloud and security services as companies delay return to offices due to the Delta variant.",Accenture-ACN NYSE-ACN US,ACN
ATVI,d105b37c-d54c-4d60-b625-8e754aee1ee2,2021-09-21T18:05:26.000Z,Blizzard loses top lawyer as federal regulators probe video game giant,"The chief lawyer for Blizzard Entertainment Inc has left the video game maker as it and parent company Activision Blizzard Inc face harsh scrutiny over their workplace practices, including allegations of sex discrimination and sexual harassment.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,a3991cc3-51d7-4ea6-90de-efdd448efb6e,2021-09-21T11:01:46.000Z,Activision Blizzard cooperating with SEC investigation into workplace complaints,"Shares of Activision Blizzard Inc. said Tuesday that it was continuing to work with regulators to address and resolve workplace complaints as it cooperates with a Securities and Exchange Commission investigation into disclosures on employment matters. The videogame maker, known for its ""Call of Duty,"" Candy Crush"" and ""World of Warcraft"" game franchises, said it has made a number of workplace changes, including ""exiting"" a number of employees and expanding compliance resources. ""While we continue to work in good faith with regulators to address and resolve past workplace issues, we also continue to move ahead with our own initiatives to ensure that we are the very best place to work,"" said Chief Executive Bobby Kotick. ""We remain committed to addressing all workplace issues in a forthright and prompt manner."" The stock, which rose 1.5% in premarket trading Tuesday, as tumbled 17.0% over the past three months to close Monday at a 10-month low. In comparison, the S&P 500 has gained 3.2% the past three months.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,732d7c65-9892-403f-bd28-11df1d793f02,2021-09-20T19:11:00.000Z,"SEC Is Investigating Activision Blizzard Over Workplace Practices, Disclosures","Federal regulators have launched an investigation into Activision Blizzard, including how the videogame company handled employees’ allegations of sexual misconduct and workplace discrimination.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,6c84e8ff-27a8-4316-9f7a-c65a6074f619,2021-09-21T10:38:00.000Z,": Activision Blizzard has made a number of workforce changes, including exiting a number of employees to address workplace issues","This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,866f19a1-951d-4c04-8f36-326cc51bb526,2021-09-22T14:06:00.000Z,"These stocks are in bear-market territory, but Wall Street expects them to soar as much as 68%","More than 100 large-cap stocks are at least 20% below their 52-week highs. But analysts love Micron Technology, Activision Blizzard and JD.com, among others.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,6f82942f-15bf-4a8b-b816-cde274e09b4d,2021-09-20T19:11:00.000Z,"WSJ News Exclusive | SEC Is Investigating Activision Blizzard Over Workplace Practices, Disclosures","Federal regulators have launched an investigation into Activision Blizzard, including how the videogame company handled employees’ allegations of sexual misconduct and workplace discrimination.",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,8e711ca4-5af4-463e-89d2-4e59c033724d,2021-09-21T20:20:00.000Z,Is policing sexual harassment the SEC’s job? Agency probe of Activision allegations ramps up debate,"The Securities and Exchange Commission is investigating Activision Blizzard Inc., in a move that some critics say is an example of the securities regulator's...",Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,0301821d-57d3-47e4-b58d-e3ca7e077df4,2021-09-20T00:00:00.000Z,Activision Blizzard Under Investigation By SEC Over Allegations Of Workplace Discrimination,The company is known for its popular video games Call of Duty and World of Warcraft as well as apps like Candy Crush.,Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ATVI,81bf0f8e-b75e-4c8c-a7e3-6a4599d3be68,2021-09-27T23:16:00.000Z,Activision Blizzard Agrees to Pay $18 Million to Settle EEOC Probe,The videogame publisher said it would pay $18 million as part of a settlement with the Equal Employment Opportunity Commission over allegations of gender-based harassment and retaliation at the company.,Activision Blizzard-ATVI NASDAQ-ATVI US,ATVI
ADM,5cdcaec7-10c3-44fe-b397-0b33f291ad7c,2021-09-15T06:49:24.000Z,ADM launches flavour production facility in China to meet growing demand,U.S. grain merchant Archer-Daniels-Midland Co said on Wednesday that it had launched a new flavour production facility in China to meet growing demand for beverages and healthy foods.,Archer-Daniels-Midland-ADM NYSE-ADM US,ADM
